epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.10967999696731567,3.780904531478882,0.15,0.10119999945163727,4.342552661895752
1,0.10416000336408615,6.058909893035889,0.15,0.10580000281333923,8.875097274780273
2,0.10553999990224838,12.71817684173584,0.15,0.11129999905824661,21.826602935791016
3,0.10391999781131744,14.841049194335938,0.15,0.1031000018119812,18.215370178222656
4,0.10424000024795532,32.64045333862305,0.15,0.10050000250339508,24.59360694885254
5,0.10395999997854233,33.23672103881836,0.15,0.10350000113248825,31.980640411376953
6,0.09905999898910522,49.79332733154297,0.15,0.09880000352859497,54.31724166870117
7,0.09668000042438507,37.92778778076172,0.15,0.10010000318288803,26.271089553833008
8,0.09713999927043915,26.366300582885742,0.105000004,0.09860000014305115,10.757464408874512
9,0.09827999770641327,26.094758987426758,0.105000004,0.09960000216960907,16.36056137084961
10,0.10196000337600708,35.79132843017578,0.105000004,0.10419999808073044,34.255462646484375
