epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.10491999983787537,4.646917343139648,0.15,0.10180000215768814,3.7375612258911133
1,0.09922000020742416,6.849993705749512,0.15,0.10080000013113022,8.455880165100098
2,0.10202000290155411,17.084442138671875,0.15,0.09709999710321426,15.096256256103516
3,0.09877999871969223,27.56822967529297,0.15,0.09650000184774399,20.731712341308594
4,0.10010000318288803,25.579647064208984,0.15,0.09910000115633011,19.317922592163086
5,0.1006999984383583,31.811542510986328,0.15,0.0949999988079071,47.64672088623047
6,0.09948000311851501,75.01123809814453,0.15,0.09790000319480896,60.60110092163086
7,0.10113999992609024,45.674957275390625,0.15,0.10109999775886536,45.09602355957031
8,0.09830000251531601,55.23479080200195,0.105000004,0.10239999741315842,76.94921112060547
9,0.10366000235080719,94.93585205078125,0.105000004,0.1005999967455864,28.405567169189453
10,0.10146000236272812,32.0,0.105000004,0.10130000114440918,30.44574737548828
