epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.20037999749183655,2.1534745693206787,0.15,0.26579999923706055,2.0290749073028564
1,0.28238001465797424,1.975390076637268,0.15,0.30469998717308044,1.9245554208755493
2,0.32425999641418457,1.8936949968338013,0.15,0.35280001163482666,1.8236087560653687
3,0.35405999422073364,1.8459826707839966,0.15,0.3790999948978424,1.7726759910583496
4,0.37915998697280884,1.8023518323898315,0.15,0.39489999413490295,1.7678426504135132
5,0.39932000637054443,1.7720643281936646,0.15,0.39989998936653137,1.7864724397659302
6,0.415800005197525,1.7602272033691406,0.15,0.4235000014305115,1.7347934246063232
7,0.4250600039958954,1.7493699789047241,0.15,0.43540000915527344,1.7468376159667969
8,0.4315800070762634,1.755256175994873,0.15,0.43810001015663147,1.7505435943603516
9,0.44328001141548157,1.7431954145431519,0.15,0.4537999927997589,1.7243192195892334
10,0.44694000482559204,1.757509708404541,0.15,0.44670000672340393,1.8333466053009033
11,0.4537000060081482,1.7528685331344604,0.15,0.4587000012397766,1.7541002035140991
12,0.45754000544548035,1.7493209838867188,0.15,0.4708000123500824,1.7208565473556519
13,0.46206000447273254,1.7494219541549683,0.15,0.47209998965263367,1.711401343345642
14,0.4689599871635437,1.7404166460037231,0.15,0.47099998593330383,1.7602753639221191
15,0.4750800132751465,1.7357879877090454,0.15,0.4821000099182129,1.733597993850708
16,0.4785799980163574,1.7340717315673828,0.15,0.4742000102996826,1.8217276334762573
17,0.48085999488830566,1.7357518672943115,0.15,0.4781999886035919,1.7770098447799683
18,0.48559999465942383,1.732416033744812,0.15,0.4860000014305115,1.7312849760055542
19,0.4893200099468231,1.7250170707702637,0.15,0.48980000615119934,1.742584228515625
