epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.09244000166654587,791261.75,0.15,0.09449999779462814,1827772.625
1,0.10400000214576721,2503644.75,0.15,0.09889999777078629,2953750.0
2,0.09860000014305115,4307177.5,0.15,0.0934000015258789,5264612.0
3,0.11714000254869461,6772436.5,0.15,0.10899999737739563,8529477.0
4,0.1318800002336502,12380525.0,0.15,0.13359999656677246,14958747.0
5,0.10722000151872635,16517090.0,0.15,0.09929999709129333,13455903.0
6,0.10580000281333923,13916289.0,0.15,0.10610000044107437,15805953.0
7,0.1048400029540062,18570598.0,0.15,0.09860000014305115,20640248.0
8,0.1023000031709671,20059906.0,0.105000004,0.09960000216960907,20673442.0
9,0.10626000165939331,18542980.0,0.105000004,0.11710000038146973,18099904.0
10,0.11309999972581863,21189788.0,0.105000004,0.12020000070333481,21966248.0
