epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.20166000723838806,2.1373419761657715,0.15,0.22849999368190765,2.2377429008483887
1,0.28352001309394836,1.9819293022155762,0.15,0.31470000743865967,1.9301128387451172
2,0.3192799985408783,1.9176377058029175,0.15,0.34470000863075256,1.898573637008667
3,0.353520005941391,1.8580790758132935,0.15,0.37070000171661377,1.8347244262695312
4,0.3742400109767914,1.8166439533233643,0.15,0.39660000801086426,1.7703886032104492
5,0.39048001170158386,1.7944265604019165,0.15,0.40540000796318054,1.7637741565704346
6,0.4075999855995178,1.7709473371505737,0.15,0.4187000095844269,1.766538381576538
7,0.41721999645233154,1.767688274383545,0.15,0.42100000381469727,1.7652336359024048
8,0.43094000220298767,1.7454081773757935,0.15,0.4361000061035156,1.7426692247390747
9,0.4380599856376648,1.7581455707550049,0.15,0.43470001220703125,1.8453314304351807
10,0.44742000102996826,1.7507307529449463,0.15,0.4505999982357025,1.7385817766189575
11,0.45489999651908875,1.7374955415725708,0.15,0.45399999618530273,1.7714914083480835
