epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.17385999858379364,2.2248082160949707,0.15,0.2152000069618225,2.149540424346924
1,0.2439199984073639,2.115677833557129,0.15,0.26759999990463257,2.078702688217163
2,0.2581599950790405,2.1221325397491455,0.15,0.2603999972343445,2.1409714221954346
3,0.26642000675201416,2.1220314502716064,0.15,0.2816999852657318,2.0794312953948975
4,0.2824000120162964,2.1711368560791016,0.15,0.28790000081062317,2.1161587238311768
5,0.27845999598503113,2.1838998794555664,0.15,0.28790000081062317,2.162943124771118
6,0.2702000141143799,2.213325023651123,0.15,0.267300009727478,2.400815010070801
7,0.26853999495506287,2.2243082523345947,0.15,0.2897000014781952,2.213381290435791
8,0.26736000180244446,2.2488672733306885,0.15,0.25999999046325684,2.2840256690979004
9,0.2836799919605255,2.1816294193267822,0.105000004,0.30059999227523804,2.1597518920898438
10,0.29221999645233154,2.1632115840911865,0.105000004,0.29910001158714294,2.199181318283081
11,0.3002200126647949,2.1710848808288574,0.105000004,0.29350000619888306,2.21889328956604
